8.280295985625589772e-01, 1.719704014374410228e-01
8.279855400866122928e-01, 1.720144599133876517e-01
8.279394656242201611e-01, 1.720605343757798666e-01
8.278913819295641296e-01, 1.721086180704359259e-01
8.278412957346551471e-01, 1.721587042653448529e-01
8.277892137491983382e-01, 1.722107862508017451e-01
8.277351426604619977e-01, 1.722648573395380023e-01
8.276790891331511357e-01, 1.723209108668487810e-01
8.276210598092854642e-01, 1.723789401907145635e-01
8.275610613080812694e-01, 1.724389386919186751e-01
8.274991002258385020e-01, 1.725008997741614980e-01
8.274351831358307541e-01, 1.725648168641693292e-01
8.273693165882000100e-01, 1.726306834117999900e-01
8.273015071098560602e-01, 1.726984928901439120e-01
8.272317612043782464e-01, 1.727682387956217258e-01
8.271600853519230911e-01, 1.728399146480769644e-01
8.270864860091337034e-01, 1.729135139908662688e-01
8.270109696090555129e-01, 1.729890303909445148e-01
8.269335425610528922e-01, 1.730664574389471078e-01
8.268542112507315522e-01, 1.731457887492683922e-01
8.267729820398640461e-01, 1.732270179601359261e-01
8.266898612663181600e-01, 1.733101387336817567e-01
8.266048552439896335e-01, 1.733951447560103665e-01
8.265179702627378777e-01, 1.734820297372621500e-01
8.264292125883249129e-01, 1.735707874116751148e-01
8.263385884623584143e-01, 1.736614115376416412e-01
8.262461041022371999e-01, 1.737538958977628278e-01
8.261517657011001603e-01, 1.738482342988998119e-01
8.260555794277788522e-01, 1.739444205722212311e-01
8.259575514267518681e-01, 1.740424485732481319e-01
8.258576878181045355e-01, 1.741423121818954645e-01
8.257559946974886156e-01, 1.742440053025113289e-01
8.256524781360883303e-01, 1.743475218639116697e-01
8.255471441805859456e-01, 1.744528558194140544e-01
8.254399988531326837e-01, 1.745600011468672608e-01
8.253310481513215224e-01, 1.746689518486785886e-01
8.252202980481618821e-01, 1.747797019518380901e-01
8.251077544920590867e-01, 1.748922455079409133e-01
8.249934234067941574e-01, 1.750065765932057871e-01
8.248773106915081588e-01, 1.751226893084918135e-01
8.247594222206873216e-01, 1.752405777793126784e-01
8.246397638441521627e-01, 1.753602361558478651e-01
8.245183413870482703e-01, 1.754816586129518130e-01
8.243951606498391982e-01, 1.756048393501608296e-01
8.242702274083031355e-01, 1.757297725916968922e-01
8.241435474135300199e-01, 1.758564525864700356e-01
8.240151263919219815e-01, 1.759848736080779352e-01
8.238849700451966740e-01, 1.761150299548034370e-01
8.237530840503899388e-01, 1.762469159496100335e-01
8.236194740598653530e-01, 1.763805259401346748e-01
8.234841457013205579e-01, 1.765158542986794976e-01
8.233471045777998043e-01, 1.766528954222002512e-01
8.232083562677061650e-01, 1.767916437322938072e-01
8.230679063248167449e-01, 1.769320936751832829e-01
8.229257602782992231e-01, 1.770742397217008601e-01
8.227819236327307273e-01, 1.772180763672693005e-01
8.226364018681184831e-01, 1.773635981318815169e-01
8.224892004399216860e-01, 1.775107995600781752e-01
8.223403247790763704e-01, 1.776596752209236296e-01
8.221897802920202780e-01, 1.778102197079798052e-01
8.220375723607210583e-01, 1.779624276392790527e-01
8.218837063427052447e-01, 1.781162936572948385e-01
8.217281875710888972e-01, 1.782718124289112138e-01
8.215710213546100205e-01, 1.784289786453900073e-01
8.214122129776625370e-01, 1.785877870223374908e-01
8.212517677003317029e-01, 1.787482322996683803e-01
8.210896907584300797e-01, 1.789103092415697815e-01
8.209259873635376126e-01, 1.790740126364623597e-01
8.207606627030393787e-01, 1.792393372969605658e-01
8.205937219401678862e-01, 1.794062780598322249e-01
8.204251702140444857e-01, 1.795748297859555143e-01
8.202550126397242236e-01, 1.797449873602757764e-01
8.200832543082398063e-01, 1.799167456917602215e-01
8.199099002866477859e-01, 1.800900997133521864e-01
8.197349556180766328e-01, 1.802650443819233395e-01
8.195584253217743642e-01, 1.804415746782255803e-01
8.193803143931590593e-01, 1.806196856068409962e-01
8.192006278038687084e-01, 1.807993721961312916e-01
8.190193705018139481e-01, 1.809806294981859964e-01
8.188365474112306863e-01, 1.811634525887693414e-01
8.186521634327333929e-01, 1.813478365672666903e-01
8.184662234433709438e-01, 1.815337765566291117e-01
8.182787322966819099e-01, 1.817212677033181734e-01
8.180896948227516230e-01, 1.819103051772484325e-01
8.178991158282695739e-01, 1.821008841717302873e-01
8.177070000965886987e-01, 1.822929999034112181e-01
8.175133523877838870e-01, 1.824866476122160852e-01
8.173181774387128229e-01, 1.826818225612871771e-01
8.171214799630769354e-01, 1.828785200369230368e-01
8.169232646514834606e-01, 1.830767353485165394e-01
8.167235361715076136e-01, 1.832764638284923586e-01
8.165222991677562048e-01, 1.834777008322437397e-01
